ct2010,MedianRent2016,MedianRent2012,Change20162012,UnempRate2016,eviction-rate,eviction-filing-rate,rent-burden,poverty-rate,TotalEMployees,FoodServicePct,FinancialPct,EducationPct,SocialServPct,ConstructionPct,Shipping_Manuf
051300,1928,1338,590,3,0.35,4.27,26.8,13.45,3572,0.082866741321389,0.091265397536394,0.037234042553192,0.041153415453528,0.011198208286674,0.047872340425532
052700,1191,928,263,11.9,0.35,5.5,32.8,38.73,3168,0.05334595959596,0.071969696969697,0.065025252525253,0.03219696969697,0.022411616161616,0.036616161616162
010100,1228,1165,63,8,0.36,1.81,34.6,22.06,2309,0.126028583802512,0.022953659592897,0.055868341273279,0.032914681680381,0.074924209614552,0.090948462537895
017000,1576,1222,354,7.5,0.36,0.72,24.6,2.26,1523,0.072225869993434,0.036112934996717,0.084701247537755,0,0.028890347997374,0.164149704530532
037402,1128,928,200,11.4,0.36,4.46,36.1,13.48,2445,0.005316973415133,0.059304703476483,0.062167689161554,0.028629856850716,0.085480572597137,0.250306748466258
044200,1421,1360,61,5.6,0.36,3.62,46.6,8.86,1053,0.004748338081671,0.02659069325736,0.178537511870845,0.027540360873694,0.02659069325736,0.037037037037037
000301,2023,1729,294,2.4,0.37,1.03,23,0,2257,0,0.172795746566238,0.043863535666814,0.025254762959681,0,0.004873726185202
004700,1710,1234,476,12.7,0.37,7,27.1,3.22,1028,0,0.101167315175097,0.103112840466926,0.022373540856031,0.005836575875486,0.006809338521401
008200,1352,1187,165,9.9,0.37,2.48,37.7,33.02,1812,0.094370860927152,0.050772626931567,0.038631346578367,0.010485651214128,0.009381898454746,0.166666666666667
021900,1340,1156,184,7.2,0.37,1.49,50,39.52,2067,0.030478955007257,0.070149975810353,0.049830672472182,0.042089985486212,0.044025157232704,0.057571359458152
022000,1557,1256,301,6.6,0.37,1.4,47.5,41.51,1287,0.043512043512044,0.052059052059052,0.132090132090132,0.028749028749029,0.065268065268065,0.126651126651127
025500,520,487,33,18.1,0.37,2.58,32.6,38.11,1890,0.063492063492064,0.02962962962963,0.034920634920635,0.021693121693122,0.031216931216931,0.149206349206349
025901,1382,1051,331,15.3,0.37,1.22,33.9,13.86,1126,0.063943161634103,0.053285968028419,0.058614564831261,0.047957371225577,0.020426287744227,0.109236234458259
026600,1323,1153,170,10.8,0.37,2.76,36.4,21.74,1643,0.122337188070603,0.048082775410834,0.068167985392575,0,0.057212416311625,0.136335970785149
012100,2046,1554,492,2,0.38,3.19,27.2,6.17,1308,0.045871559633028,0.046636085626911,0.10474006116208,0.004587155963303,0.01605504587156,0.077217125382263
016800,1382,1215,167,2.3,0.38,1.53,26.8,21.12,813,0,0.116851168511685,0.082410824108241,0.011070110701107,0.050430504305043,0.044280442804428
045200,1543,1324,219,2.4,0.38,1.9,40,12.3,1040,0.010576923076923,0.118269230769231,0.183653846153846,0.028846153846154,0.011538461538462,0.030769230769231
048100,1758,1370,388,5.7,0.38,0.99,28.1,4.91,2038,0.122178606476938,0.050049067713445,0.052993130520118,0.019627085377821,0.016683022571148,0.026987242394505
054400,1233,1040,193,8.2,0.38,3.43,37.8,21.05,1641,0.043266301035954,0.046922608165753,0.129189518586228,0.010968921389397,0.022547227300427,0.118220597196831
059300,1570,1451,119,10.1,0.38,1.27,23.5,8.58,1282,0.066302652106084,0.044461778471139,0.05616224648986,0.00390015600624,0.06786271450858,0.03198127925117
070600,2142,1308,834,7.3,0.38,2.3,33.1,0.79,1237,0.064672594987874,0.079223928860146,0.13338722716249,0.037995149555376,0.073565076798707,0.082457558609539
005100,2285,1744,541,3,0.39,0.51,25.3,3.3,1625,0.054153846153846,0.059692307692308,0.083692307692308,0.006153846153846,0.008,0.029538461538462
013100,2051,1869,182,2.6,0.39,1.24,24.5,7.53,2590,0.034749034749035,0.102702702702703,0.065637065637066,0.016216216216216,0,0.025096525096525
025100,886,821,65,21.1,0.39,2.74,25.1,18.48,1493,0.050904219691896,0.120562625586068,0.0589417280643,0.046885465505693,0.017414601473543,0.108506363027461
056000,1369,1180,189,3.7,0.39,5.65,37.2,15.26,1433,0.004187020237264,0.043265875785066,0.094207955338451,0.00976971388695,0.060013956734124,0.048848569434752
052600,1481,1171,310,7.6,0.4,5.21,30.8,13.54,2513,0.067648229208118,0.071627536808595,0.075606844409073,0.029446876243534,0.005173099880621,0.132908873855949
058200,1362,1063,299,12.6,0.4,1.85,43.2,25.3,1305,0.051340996168582,0.010727969348659,0.069731800766284,0,0.118007662835249,0.127969348659004
114201,1190,1254,-64,5.4,0.4,5.16,34.8,15.2,613,0.047308319738989,0.032626427406199,0.055464926590538,0.021207177814029,0.034257748776509,0.200652528548124
012000,1291,1317,-26,10.2,0.41,4.1,50,36.06,547,0.188299817184644,0.049360146252285,0.069469835466179,0,0.038391224862889,0.179159049360146
019100,2261,1641,620,9.8,0.41,0.68,34.8,14.46,1765,0.044192634560907,0.104249291784703,0.041359773371105,0.028895184135977,0,0.01586402266289
021500,1307,1239,68,5.5,0.41,1.79,50,42.6,3200,0.0078125,0.150625,0.1109375,0.021875,0.0078125,0.0259375
043800,1349,1256,93,7.7,0.41,7.11,44.6,18.79,1143,0.012248468941382,0.059492563429571,0.112860892388451,0.032370953630796,0.042869641294838,0.098862642169729
048800,1196,1281,-85,4.9,0.41,2.84,28.6,23.17,1610,0.063975155279503,0.032919254658385,0.111180124223602,0.032919254658385,0.032298136645963,0.072670807453416
054600,1252,1118,134,9.9,0.41,6.25,41.9,17.21,1843,0.015735214324471,0.052088985349973,0.078676071622355,0.033640803038524,0.055344546934346,0.096581660336408
030800,933,928,5,7.4,0.42,1.68,32.4,14.96,800,0.04375,0.06625,0.0475,0.00125,0.0525,0.165
053900,1024,1147,-123,7.7,0.42,9.45,36.8,49.21,834,0.009592326139089,0,0.167865707434053,0.004796163069544,0.037170263788969,0
057500,1878,1377,501,2.6,0.42,1.57,26.1,19.21,2439,0.015580155801558,0.054120541205412,0.063960639606396,0.008610086100861,0.036080360803608,0.062730627306273
013900,2012,1555,457,5.8,0.43,4.68,23.9,3.64,2172,0.012891344383057,0.097605893186004,0.164364640883978,0.013812154696133,0.01427255985267,0.055709023941068
016300,1652,1554,98,9,0.43,0.43,37.7,10.3,2024,0.025691699604743,0.088932806324111,0.07905138339921,0.075592885375494,0.013339920948617,0.019268774703557
020000,1313,1439,-126,4.2,0.43,1.93,25.1,11.7,1064,0.090225563909775,0.046992481203008,0.042293233082707,0,0.106203007518797,0.138157894736842
049400,1374,1129,245,8.4,0.43,3.53,32.8,13.29,2386,0.04861693210394,0.080888516345348,0.068734283319363,0.007963118189438,0.086756077116513,0.134953897736798
059402,1177,1062,115,9,0.43,6.38,35.2,5.74,2662,0.031930879038317,0.080015026296018,0.087152516904583,0.020285499624343,0.061232156273479,0.078512396694215
013200,1279,1247,32,6.8,0.45,1.59,25.7,16.73,926,0.057235421166307,0.018358531317495,0.088552915766739,0.011879049676026,0.062634989200864,0.172786177105832
014200,1425,1253,172,8.2,0.45,3.81,29,19.07,1394,0.050932568149211,0.063845050215208,0.039454806312769,0.013629842180775,0.016499282639885,0.109756097560976
048200,1212,1107,105,8.3,0.45,7.44,41.7,25.37,2256,0.038563829787234,0.040780141843972,0.040780141843972,0.022163120567376,0.046542553191489,0.206117021276596
049800,1443,1247,196,5.2,0.45,2.62,34.2,13.86,2344,0.04778156996587,0.042235494880546,0.11518771331058,0.020904436860068,0.042235494880546,0.131399317406143
064800,1495,1174,321,3.5,0.45,2.26,29.7,5.17,970,0.015463917525773,0.081443298969072,0.080412371134021,0.018556701030928,0.05360824742268,0.043298969072165
070201,1408,1448,-40,8,0.45,0.9,50,4.62,2791,0.056252239340738,0.08419921175206,0.090290218559656,0.020064493013257,0.042995342171265,0.04442852024364
009200,1243,1151,92,10.6,0.46,3.64,46.4,38.58,2479,0.137555465913675,0.022993142396128,0.036304961678096,0.018959257765228,0.042355788624445,0.189189189189189
012200,1192,1269,-77,13.2,0.46,2,43.1,34.9,2592,0.14158950617284,0.020833333333333,0.021990740740741,0.018132716049383,0.101851851851852,0.150462962962963
018700,2042,1777,265,8.4,0.46,3.64,32.2,13.47,826,0.101694915254237,0.058111380145279,0.073849878934625,0.013317191283293,0.019370460048426,0.044794188861986
